customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,days_to_deliver,time_to_deliver,month,year,week,weekD
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2,48.0,4,2021,13,Sun
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,11,264.00000000000006,2,2021,7,Thu
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2021-05-21,2021-05-23,2,48.0,5,2021,20,Fri
10,Susanetta Wilshin,Bigender,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia,595,45626,2021-03-09,2021-03-29,20,480.0,3,2021,10,Tue
11,Michaeline McIndrew,Agender,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,560,41952,2021-05-28,2021-06-05,8,192.0,5,2021,21,Fri
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134,39451,2021-06-19,2021-07-01,12,288.00000000000006,6,2021,24,Sat
13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398,31626,2021-09-28,2021-10-13,15,360.0,9,2021,39,Tue
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200,50335,2021-08-24,2021-09-07,14,336.0,8,2021,34,Tue
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,995,43588,2021-04-14,2021-04-28,14,336.0,4,2021,15,Wed
16,Gabbie Aldwinckle,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,885,27561,2021-10-18,2021-11-13,26,624.0,10,2021,42,Mon
18,Chan Duchesne,Male,79,13 Bailey ManorApt. 848,7171,Walterland,New South Wales,Australia,191,31002,2021-01-22,2021-02-15,24,576.0000000000001,1,2021,3,Fri
18,Chan Duchesne,Male,79,13 Bailey ManorApt. 848,7171,Walterland,New South Wales,Australia,354,33908,2021-02-26,2021-03-08,10,240.0,2,2021,8,Fri
19,Chadwick Cruddas,Agender,41,002 Beau PlazaApt. 308,7053,West Bailey,Victoria,Australia,274,50173,2021-04-13,2021-04-27,14,336.0,4,2021,15,Tue
20,Gigi Kalaher,Genderqueer,55,2069 Phoebe MallApt. 543,6318,East Audrey,South Australia,Australia,432,37821,2021-10-20,2021-11-03,14,336.0,10,2021,42,Wed
20,Gigi Kalaher,Genderqueer,55,2069 Phoebe MallApt. 543,6318,East Audrey,South Australia,Australia,641,54363,2021-03-10,2021-03-22,12,288.00000000000006,3,2021,10,Wed
21,Seana Hearons,Non-binary,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia,377,24815,2021-05-19,2021-05-28,9,216.0,5,2021,20,Wed
21,Seana Hearons,Non-binary,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia,616,28727,2021-05-13,2021-05-14,1,24.0,5,2021,19,Thu
21,Seana Hearons,Non-binary,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia,664,11960,2021-01-07,2021-01-20,13,312.0,1,2021,1,Thu
22,Blayne Sabatier,Non-binary,20,292 Casper IslandSuite 778,6624,Maxberg,Victoria,Australia,668,40483,2021-03-15,2021-03-30,15,360.0,3,2021,11,Mon
23,Alair Grimwad,Female,32,682 Rose CircleApt. 514,1832,North Mia,Tasmania,Australia,515,20627,2021-05-23,2021-06-13,21,504.0,5,2021,20,Sun
25,Ernaline Luce,Genderqueer,75,02 Gabriella PlazaApt. 474,9311,Olivershire,Victoria,Australia,609,21514,2021-04-22,2021-05-08,16,384.0,4,2021,16,Thu
26,Timothy Compston,Genderqueer,50,499 Darcy CrestApt. 192,8816,New Oliverside,New South Wales,Australia,550,52719,2021-08-04,2021-08-09,5,120.0,8,2021,31,Wed
27,Jayme Turvie,Polygender,55,6578 Kayla AvenueSuite 812,3462,Lake Alanafort,Western Australia,Australia,748,49811,2021-05-16,2021-06-06,21,504.0,5,2021,19,Sun
28,Hadley Baddam,Non-binary,79,360 Heller DriveApt. 052,5820,West Noah,Queensland,Australia,208,39533,2021-10-10,2021-10-15,5,120.0,10,2021,40,Sun
28,Hadley Baddam,Non-binary,79,360 Heller DriveApt. 052,5820,West Noah,Queensland,Australia,226,44799,2021-07-09,2021-07-23,14,336.0,7,2021,27,Fri
34,Ninon Corteney,Non-binary,55,09 Robinson SquareApt. 647,5387,Sauerfort,Western Australia,Australia,267,44791,2021-09-11,2021-09-12,1,24.0,9,2021,36,Sat
35,Adamo Saddington,Male,80,3168 Bartoletti CrescentSuite 878,593,Port Lucas,Queensland,Australia,844,34733,2021-09-26,2021-10-18,22,528.0000000000001,9,2021,38,Sun
35,Adamo Saddington,Male,80,3168 Bartoletti CrescentSuite 878,593,Port Lucas,Queensland,Australia,948,18783,2021-08-24,2021-09-02,9,216.0,8,2021,34,Tue
40,Regan Gronaller,Polygender,59,9484 Amelia View RdApt. 760,9767,Port Claudia,New South Wales,Australia,732,40317,2021-05-09,2021-05-29,20,480.0,5,2021,18,Sun
40,Regan Gronaller,Polygender,59,9484 Amelia View RdApt. 760,9767,Port Claudia,New South Wales,Australia,753,39610,2021-02-20,2021-02-28,8,192.0,2,2021,7,Sat
41,Hana Stitch,Male,65,647 Violet Estate DrSuite 364,4320,Port Ella,New South Wales,Australia,320,19693,2021-08-22,2021-09-12,21,504.0,8,2021,33,Sun
42,Horatius Genever,Genderqueer,37,778 Wilkinson RidgeSuite 101,268,Gabriellatown,Victoria,Australia,778,19228,2021-01-24,2021-02-07,14,336.0,1,2021,3,Sun
44,Avivah Chipchase,Bigender,60,6308 Amelie MeadowSuite 634,9842,Eliburgh,Tasmania,Australia,787,59055,2021-07-18,2021-07-31,13,312.0,7,2021,28,Sun
45,Vicki Stockwell,Male,27,3101 Thomson ManorApt. 600,1796,Leofurt,Australian Capital Territory,Australia,932,27978,2021-08-22,2021-08-23,1,24.0,8,2021,33,Sun
46,Meris Twitty,Agender,68,708 Daniel MeadowSuite 246,5087,Bartolettiside,Australian Capital Territory,Australia,355,33100,2021-04-14,2021-04-24,10,240.0,4,2021,15,Wed
47,Jarrett Brumby,Polygender,54,59 Wood DriveSuite 806,9780,Lake Nicholasfurt,Western Australia,Australia,410,14296,2021-08-04,2021-08-09,5,120.0,8,2021,31,Wed
49,Shanna Pietrzyk,Female,56,30 Watson WayApt. 179,2511,Port Alyssa,Queensland,Australia,534,31586,2021-09-23,2021-09-26,3,72.00000000000001,9,2021,38,Thu
49,Shanna Pietrzyk,Female,56,30 Watson WayApt. 179,2511,Port Alyssa,Queensland,Australia,553,16753,2021-03-06,2021-03-14,8,192.0,3,2021,9,Sat
49,Shanna Pietrzyk,Female,56,30 Watson WayApt. 179,2511,Port Alyssa,Queensland,Australia,947,47022,2021-06-24,2021-07-02,8,192.0,6,2021,25,Thu
50,Moore Oolahan,Genderqueer,63,13 Stokes SummitApt. 125,5725,East Aidan,Western Australia,Australia,635,51943,2021-07-15,2021-08-05,21,504.0,7,2021,28,Thu
50,Moore Oolahan,Genderqueer,63,13 Stokes SummitApt. 125,5725,East Aidan,Western Australia,Australia,714,15121,2021-02-07,2021-02-19,12,288.00000000000006,2,2021,5,Sun
51,Kayley Brosoli,Non-binary,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,36,32494,2021-08-22,2021-09-04,13,312.0,8,2021,33,Sun
51,Kayley Brosoli,Non-binary,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,127,43262,2021-04-01,2021-04-11,10,240.0,4,2021,13,Thu
51,Kayley Brosoli,Non-binary,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,479,18796,2021-06-27,2021-07-16,19,456.0,6,2021,25,Sun
52,Marena Lockhart,Male,47,012 Cooper MallApt. 259,841,Chelseahaven,Victoria,Australia,352,13270,2021-10-08,2021-10-10,2,48.0,10,2021,40,Fri
54,Tore Caras,Genderqueer,62,2912 Adams JunctionSuite 740,5575,West Alyssa,Queensland,Australia,575,27420,2021-08-14,2021-08-16,2,48.0,8,2021,32,Sat
54,Tore Caras,Genderqueer,62,2912 Adams JunctionSuite 740,5575,West Alyssa,Queensland,Australia,945,11172,2021-07-04,2021-07-22,18,432.0,7,2021,26,Sun
55,Giles Kyne,Polygender,45,91 Angelina RidgeApt. 435,9871,Lake Phoenixside,South Australia,Australia,526,10434,2021-05-16,2021-05-22,6,144.00000000000003,5,2021,19,Sun
58,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,8,28484,2021-04-12,2021-05-01,19,456.0,4,2021,15,Mon
58,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,298,55984,2021-09-11,2021-09-20,9,216.0,9,2021,36,Sat
58,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,507,29761,2021-06-20,2021-07-11,21,504.0,6,2021,24,Sun
60,Hyacinth Pepper,Agender,20,8095 Kuhlman StreetApt. 657,4907,New Callum,Tasmania,Australia,524,28334,2021-07-21,2021-08-01,11,264.00000000000006,7,2021,29,Wed
61,Lin Avraam,Genderqueer,65,00 Zachary AvenueApt. 781,4358,Samuelland,South Australia,Australia,473,36137,2021-05-19,2021-06-12,24,576.0000000000001,5,2021,20,Wed
62,Denice Ledrane,Bigender,32,049 Imogen StreetSuite 299,2404,New Beaumouth,Australian Capital Territory,Australia,212,29887,2021-10-14,2021-11-08,25,600.0,10,2021,41,Thu
62,Denice Ledrane,Bigender,32,049 Imogen StreetSuite 299,2404,New Beaumouth,Australian Capital Territory,Australia,884,54659,2021-08-16,2021-09-08,23,552.0000000000001,8,2021,33,Mon
64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-08-30,2021-09-24,25,600.0,8,2021,35,Mon
68,Willa Gaisford,Female,23,373 Little JunctionApt. 299,6751,West Justin,Western Australia,Australia,75,16667,2021-08-24,2021-09-15,22,528.0000000000001,8,2021,34,Tue
68,Willa Gaisford,Female,23,373 Little JunctionApt. 299,6751,West Justin,Western Australia,Australia,247,39513,2021-10-19,2021-11-12,24,576.0000000000001,10,2021,42,Tue
69,Tiphany Peacop,Bigender,79,473 Leo CourtSuite 784,8820,East Sofia,Victoria,Australia,965,14014,2021-07-24,2021-07-29,5,120.0,7,2021,29,Sat
70,Dulcea Shrawley,Female,48,026 D'amore RunSuite 187,770,Codyview,Northern Territory,Australia,357,30735,2021-02-08,2021-02-13,5,120.0,2,2021,6,Mon
72,Marinna Heal,Genderfluid,42,95 Justin PlaceApt. 441,5160,Braunhaven,Tasmania,Australia,937,13216,2021-06-04,2021-06-25,21,504.0,6,2021,22,Fri
73,Jehanna Water,Polygender,48,672 Graham MewsApt. 407,5208,Monahanside,South Australia,Australia,809,26098,2021-02-11,2021-02-25,14,336.0,2,2021,6,Thu
75,Katinka Currier,Non-binary,75,96 Caitlin HillSuite 366,9777,Smythland,South Australia,Australia,112,46956,2021-02-04,2021-02-17,13,312.0,2,2021,5,Thu
75,Katinka Currier,Non-binary,75,96 Caitlin HillSuite 366,9777,Smythland,South Australia,Australia,380,13269,2021-03-22,2021-03-28,6,144.00000000000003,3,2021,12,Mon
76,Chandra Carine,Agender,51,1805 Harry RoadApt. 445,2030,Hellermouth,New South Wales,Australia,943,26707,2021-02-22,2021-03-14,20,480.0,2,2021,8,Mon
77,Angela Kester,Male,62,63 Tremblay BoulevardApt. 688,1102,Chloeville,South Australia,Australia,489,28578,2021-08-30,2021-09-21,22,528.0000000000001,8,2021,35,Mon
78,Jethro Pollak,Genderqueer,38,7812 Towne GroveSuite 233,7232,Lake Alihaven,Northern Territory,Australia,37,53949,2021-07-07,2021-07-18,11,264.00000000000006,7,2021,27,Wed
78,Jethro Pollak,Genderqueer,38,7812 Towne GroveSuite 233,7232,Lake Alihaven,Northern Territory,Australia,691,46697,2021-04-03,2021-04-19,16,384.0,4,2021,13,Sat
79,Persis Spiteri,Genderfluid,46,844 Alana LaneApt. 225,1862,Sofiaberg,Australian Capital Territory,Australia,527,16864,2021-09-13,2021-10-09,26,624.0,9,2021,37,Mon
81,Lanny Wardale,Female,30,4870 Jackson SummitApt. 538,1915,Spencerborough,Western Australia,Australia,570,19171,2021-03-09,2021-03-14,5,120.0,3,2021,10,Tue
81,Lanny Wardale,Female,30,4870 Jackson SummitApt. 538,1915,Spencerborough,Western Australia,Australia,863,33163,2021-05-10,2021-05-18,8,192.0,5,2021,19,Mon
83,Kayne Fraczkiewicz,Agender,40,9662 Isaac MallSuite 490,7525,Walshland,Northern Territory,Australia,762,25268,2021-08-13,2021-08-20,7,168.0,8,2021,32,Fri
84,Minta Loble,Female,63,195 Wilson HillApt. 597,7587,Lake Paigemouth,Northern Territory,Australia,163,11473,2021-06-12,2021-06-17,5,120.0,6,2021,23,Sat
84,Minta Loble,Female,63,195 Wilson HillApt. 597,7587,Lake Paigemouth,Northern Territory,Australia,980,57728,2021-10-19,2021-11-14,26,624.0,10,2021,42,Tue
85,Cornie Virr,Genderqueer,27,41 Feeney ParkwaySuite 074,4401,East Chelsea,Northern Territory,Australia,472,44735,2021-07-15,2021-07-29,14,336.0,7,2021,28,Thu
86,Corinna Maystone,Non-binary,76,040 Savannah GroveSuite 967,9337,Gleasonport,Tasmania,Australia,40,56657,2021-01-07,2021-01-19,12,288.00000000000006,1,2021,1,Thu
86,Corinna Maystone,Non-binary,76,040 Savannah GroveSuite 967,9337,Gleasonport,Tasmania,Australia,249,47181,2021-05-13,2021-05-26,13,312.0,5,2021,19,Thu
87,Barbara-anne Salerg,Agender,53,384 Hayley View RdSuite 949,1780,Savannahland,Northern Territory,Australia,990,40306,2021-08-17,2021-09-06,20,480.0,8,2021,33,Tue
88,Kendall Jakubski,Male,78,331 Leah Station StSuite 445,3111,Port Liam,South Australia,Australia,730,16533,2021-06-20,2021-07-10,20,480.0,6,2021,24,Sun
88,Kendall Jakubski,Male,78,331 Leah Station StSuite 445,3111,Port Liam,South Australia,Australia,866,48270,2021-04-11,2021-04-21,10,240.0,4,2021,14,Sun
89,Matthiew Hinckes,Female,51,1290 Koch GroveApt. 799,1443,Lake Hannah,Queensland,Australia,269,21446,2021-02-05,2021-02-22,17,408.0,2,2021,5,Fri
92,Hillary Guiness,Agender,27,74 Eva TerraceSuite 247,564,Harrismouth,Queensland,Australia,195,41725,2021-04-13,2021-04-17,4,96.0,4,2021,15,Tue
92,Hillary Guiness,Agender,27,74 Eva TerraceSuite 247,564,Harrismouth,Queensland,Australia,272,19661,2021-01-20,2021-01-31,11,264.00000000000006,1,2021,3,Wed
92,Hillary Guiness,Agender,27,74 Eva TerraceSuite 247,564,Harrismouth,Queensland,Australia,695,26374,2021-07-01,2021-07-20,19,456.0,7,2021,26,Thu
93,Law Foker,Genderfluid,66,4715 Hand View RdSuite 955,4739,Colestad,Queensland,Australia,62,37952,2021-07-30,2021-08-13,14,336.0,7,2021,30,Fri
94,Otha Skein,Genderqueer,46,368 Morrison MeadowApt. 117,1037,East Isla,Western Australia,Australia,401,24512,2021-08-14,2021-08-24,10,240.0,8,2021,32,Sat
95,Pierre Rockwill,Non-binary,33,09 Doyle MallApt. 066,3891,Port Jordan,Western Australia,Australia,314,49262,2021-08-14,2021-08-17,3,72.00000000000001,8,2021,32,Sat
96,Garvy Davioud,Genderfluid,41,461 Nader LaneApt. 460,2012,Hudsontown,New South Wales,Australia,69,40619,2021-03-08,2021-03-28,20,480.0,3,2021,10,Mon
96,Garvy Davioud,Genderfluid,41,461 Nader LaneApt. 460,2012,Hudsontown,New South Wales,Australia,362,21601,2021-09-30,2021-10-07,7,168.0,9,2021,39,Thu
97,Dean McLarty,Female,39,6303 Nate BoulevardSuite 368,2815,North Ellabury,Northern Territory,Australia,477,37504,2021-06-20,2021-06-26,6,144.00000000000003,6,2021,24,Sun
97,Dean McLarty,Female,39,6303 Nate BoulevardSuite 368,2815,North Ellabury,Northern Territory,Australia,919,53662,2021-06-29,2021-07-21,22,528.0000000000001,6,2021,26,Tue
99,Benji Vineall,Genderqueer,75,468 Shields CircleApt. 480,296,Port Madelineberg,Tasmania,Australia,324,10411,2021-07-05,2021-07-16,11,264.00000000000006,7,2021,27,Mon
