customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,days_to_deliver,time_to_deliver,month,year,week,weekD,sales_id,product_id,price_per_unit,sold_quantity,total_price,product_type,product_name,size,colour,price,quantity,description
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2,48.0,4,2021,13,Sun,2245,211,106,3,318,Shirt,Chambray,S,red,105,72,"A red coloured, S sized, Chambray Shirt"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2021-04-04,2021-04-06,2,48.0,4,2021,13,Sun,2246,783,91,2,182,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket"
81,Lanny Wardale,Female,30,4870 Jackson SummitApt. 538,1915,Spencerborough,Western Australia,Australia,863,33163,2021-05-10,2021-05-18,8,192.0,5,2021,19,Mon,4326,783,91,1,91,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket"
258,Mira Heinonen,Female,62,2719 Dietrich KnollApt. 175,1252,South Declan,Queensland,Australia,793,39635,2021-01-27,2021-02-03,7,168.0,1,2021,4,Wed,3983,783,91,3,273,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket"
432,Ettie Gonnely,Bigender,34,6172 Andrew AvenueApt. 194,7029,North Cody,Victoria,Australia,939,24169,2021-04-02,2021-04-21,19,456.0,4,2021,13,Fri,4687,783,91,2,182,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket"
944,Peri Pilsworth,Genderfluid,36,409 Alyssa CourtApt. 204,8196,Walterland,Victoria,Australia,817,35818,2021-06-27,2021-07-05,8,192.0,6,2021,25,Sun,4112,783,91,1,91,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3324,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
268,Muire Ashtonhurst,Male,47,25 Mikayla MewsApt. 558,3668,West Michael,South Australia,Australia,993,33479,2021-03-29,2021-04-11,13,312.0,3,2021,13,Mon,4970,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
409,Alphonse Galego,Male,75,553 Alexander TrailSuite 694,134,New Chase,Australian Capital Territory,Australia,339,15556,2021-04-06,2021-04-13,7,168.0,4,2021,14,Tue,1658,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
461,Alina Strotton,Female,54,2501 Hackett ManorSuite 051,60,West Chasemouth,Australian Capital Territory,Australia,182,33720,2021-02-22,2021-03-04,10,240.0,2,2021,8,Mon,882,525,98,1,98,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
566,Melissa Partkya,Male,23,95 Rice Station StSuite 985,2919,O'keefeton,Tasmania,Australia,161,45840,2021-03-22,2021-04-11,20,480.0,3,2021,12,Mon,765,525,98,3,294,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
794,Elizabet Pippin,Non-binary,72,14 Clark PlazaSuite 716,9751,Port Anna,South Australia,Australia,645,46397,2021-08-19,2021-09-13,25,600.0,8,2021,33,Thu,3208,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3325,792,91,2,182,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket"
461,Alina Strotton,Female,54,2501 Hackett ManorSuite 051,60,West Chasemouth,Australian Capital Territory,Australia,182,33720,2021-02-22,2021-03-04,10,240.0,2,2021,8,Mon,883,792,91,3,273,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket"
898,Jillian Sauven,Bigender,41,99 Sophia TrailApt. 477,3377,Angelinaport,New South Wales,Australia,886,51067,2021-09-22,2021-10-18,26,624.0,9,2021,38,Wed,4447,792,91,2,182,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket"
996,Elvira Sarfati,Agender,59,0433 Armstrong HillSuite 974,7613,Lake Danielland,Tasmania,Australia,169,22089,2021-03-09,2021-03-12,3,72.00000000000001,3,2021,10,Tue,813,792,91,3,273,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3326,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
60,Hyacinth Pepper,Agender,20,8095 Kuhlman StreetApt. 657,4907,New Callum,Tasmania,Australia,524,28334,2021-07-21,2021-08-01,11,264.00000000000006,7,2021,29,Wed,2615,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
328,Wadsworth Olivier,Non-binary,59,4309 Nguyen KnollApt. 851,6795,North Elijahshire,Western Australia,Australia,238,59828,2021-03-17,2021-03-27,10,240.0,3,2021,11,Wed,1156,179,98,2,196,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
415,Ashley Gant,Polygender,40,458 Imogen Station StSuite 799,7671,Dietrichville,South Australia,Australia,194,21994,2021-10-23,2021-11-03,11,264.00000000000006,10,2021,42,Sat,950,179,98,3,294,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
508,Jan Isenor,Non-binary,65,6863 Tremblay KnollSuite 290,9728,West Annaport,Northern Territory,Australia,394,18584,2021-09-06,2021-09-10,4,96.0,9,2021,36,Mon,1963,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
586,Wenona Stuck,Agender,34,71 Jade CrescentApt. 142,5142,Hallhaven,New South Wales,Australia,189,41543,2021-07-17,2021-08-08,22,528.0000000000001,7,2021,28,Sat,921,179,98,2,196,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
628,Frayda Simonini,Non-binary,75,774 Christiansen StreetSuite 261,2197,West Sophie,Northern Territory,Australia,224,20293,2021-07-07,2021-08-02,26,624.0,7,2021,27,Wed,1091,179,98,3,294,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
696,Miner Craddock,Non-binary,38,8353 Bruen ParkwayApt. 455,5325,Callummouth,Australian Capital Territory,Australia,717,52327,2021-03-11,2021-04-05,25,600.0,3,2021,10,Thu,3577,179,98,3,294,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,2021-03-06,2021-04-01,26,624.0,3,2021,9,Sat,3327,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
254,Scot Billany,Male,44,4966 Lilly Estate DrApt. 570,8170,Beiermouth,Queensland,Australia,751,47650,2021-06-20,2021-07-06,16,384.0,6,2021,24,Sun,3762,789,91,1,91,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
265,Ianthe Magowan,Male,52,35 Baumbach HillApt. 244,5072,Lake Laurenview,Tasmania,Australia,776,44395,2021-09-02,2021-09-27,25,600.0,9,2021,35,Thu,3873,789,91,1,91,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
370,Hildegarde Bamlett,Agender,38,47 Stanton GroveSuite 963,9196,Abbottbury,Australian Capital Territory,Australia,879,37561,2021-10-11,2021-10-20,9,216.0,10,2021,41,Mon,4398,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
485,Gayleen Brookes,Male,46,18 Lachlan CourtApt. 781,6977,Port Lily,Australian Capital Territory,Australia,365,37396,2021-04-14,2021-04-25,11,264.00000000000006,4,2021,15,Wed,1797,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
647,Malory Emmison,Male,51,118 Levi CrestApt. 495,137,Lake Nicholasfort,Australian Capital Territory,Australia,870,47385,2021-08-01,2021-08-12,11,264.00000000000006,8,2021,30,Sun,4354,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket"
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,2021-02-18,2021-03-01,11,264.00000000000006,2,2021,7,Thu,3639,197,98,3,294,Shirt,Camp Collared,M,blue,112,65,"A blue coloured, M sized, Camp Collared Shirt"
21,Seana Hearons,Non-binary,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia,377,24815,2021-05-19,2021-05-28,9,216.0,5,2021,20,Wed,1875,197,98,2,196,Shirt,Camp Collared,M,blue,112,65,"A blue coloured, M sized, Camp Collared Shirt"
181,Puff Newbury,Polygender,27,35 Fahey CircuitSuite 014,1017,Port Joshuaside,Northern Territory,Australia,367,35564,2021-02-20,2021-03-19,27,648.0,2,2021,7,Sat,1810,197,98,2,196,Shirt,Camp Collared,M,blue,112,65,"A blue coloured, M sized, Camp Collared Shirt"
634,Channa Powley,Genderqueer,70,87 Oliver TerraceApt. 608,969,East Mackenzietown,South Australia,Australia,694,56801,2021-04-17,2021-05-11,24,576.0000000000001,4,2021,15,Sat,3443,197,98,1,98,Shirt,Camp Collared,M,blue,112,65,"A blue coloured, M sized, Camp Collared Shirt"
