customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,days_to_deliver,time_to_deliver,month,year,week,weekD,active
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455.0,24550.0,2021-04-04,2021-04-06,2.0,48.0,4.0,2021.0,13,Sun,Yes
2,Zabrina Harrowsmith,Genderfluid,69,8327 Kirlin SummitApt. 461,8223,New Zacharyfort,South Australia,Australia,,,,,,,,,,,No
3,Shina Dullaghan,Polygender,59,269 Gemma SummitSuite 109,5661,Aliburgh,Australian Capital Territory,Australia,,,,,,,,,,,No
4,Hewet McVitie,Bigender,67,743 Bailey GroveSuite 141,1729,South Justinhaven,Queensland,Australia,,,,,,,,,,,No
5,Rubia Ashleigh,Polygender,30,48 Hyatt ManorSuite 375,4032,Griffithsshire,Queensland,Australia,,,,,,,,,,,No
6,Cordey Tolcher,Genderfluid,40,7118 Mccullough SquareSuite 639,9996,Blakehaven,New South Wales,Australia,,,,,,,,,,,No
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465.0,48935.0,2021-05-21,2021-05-23,2.0,48.0,5.0,2021.0,20,Fri,Yes
8,Marlowe Wynn,Agender,75,383 Muller SummitSuite 809,7681,Samside,Northern Territory,Australia,,,,,,,,,,,No
9,Brittaney Gontier,Male,51,57 Greenfelder HillApt. 077,2,Beierport,Northern Territory,Australia,,,,,,,,,,,No
10,Susanetta Wilshin,Bigender,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia,595.0,45626.0,2021-03-09,2021-03-29,20.0,480.0,3.0,2021.0,10,Tue,Yes
11,Michaeline McIndrew,Agender,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,560.0,41952.0,2021-05-28,2021-06-05,8.0,192.0,5.0,2021.0,21,Fri,Yes
12,Fedora Dmych,Bigender,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,134.0,39451.0,2021-06-19,2021-07-01,12.0,288.00000000000006,6.0,2021.0,24,Sat,Yes
13,Marabel Swinfon,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,398.0,31626.0,2021-09-28,2021-10-13,15.0,360.0,9.0,2021.0,39,Tue,Yes
14,Chrissie Wackly,Bigender,36,403 Doherty RunSuite 497,2050,North Benjaminville,New South Wales,Australia,,,,,,,,,,,No
15,Avril Rossiter,Genderfluid,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,200.0,50335.0,2021-08-24,2021-09-07,14.0,336.0,8.0,2021.0,34,Tue,Yes
16,Gabbie Aldwinckle,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,885.0,27561.0,2021-10-18,2021-11-13,26.0,624.0,10.0,2021.0,42,Mon,Yes
17,Devonna Cutting,Genderfluid,32,29 Imogen CrestSuite 275,8309,Lake Graceside,Australian Capital Territory,Australia,,,,,,,,,,,No
18,Chan Duchesne,Male,79,13 Bailey ManorApt. 848,7171,Walterland,New South Wales,Australia,191.0,31002.0,2021-01-22,2021-02-15,24.0,576.0000000000001,1.0,2021.0,3,Fri,Yes
19,Chadwick Cruddas,Agender,41,002 Beau PlazaApt. 308,7053,West Bailey,Victoria,Australia,274.0,50173.0,2021-04-13,2021-04-27,14.0,336.0,4.0,2021.0,15,Tue,Yes
